epoch,loss,val_loss
0,9.897424664827856,7.508443832397461
1,5.933144922740988,6.226330280303955
2,5.048902701858842,5.720093250274658
3,4.469344261410511,5.201552391052246
4,4.031983280713673,4.895968914031982
5,3.81245407000498,4.438889503479004
6,3.579650971969264,3.9969470500946045
7,3.4477818552889343,3.9690065383911133
8,3.3695291592433696,3.730522871017456
9,3.236086859874418,3.849902868270874
10,3.0835280991545986,3.4363300800323486
11,3.1118852947428914,3.7934937477111816
12,3.0091456430404455,3.4152002334594727
13,2.9967966546504177,3.5788023471832275
14,2.9568827427009667,3.4723610877990723
15,2.8289109998771544,3.148157835006714
16,2.8180443561062347,4.022754192352295
17,2.7226984793368767,3.7116036415100098
18,2.749584303469463,3.4124362468719482
19,2.6314704825887008,3.2941734790802
20,2.603425685062432,2.890578508377075
21,2.6518732171962696,3.6965670585632324
22,2.847227033038417,3.617445468902588
23,2.742285815017965,3.908951759338379
24,2.654416965581523,3.006087064743042
25,2.576619520801889,3.4650819301605225
26,2.5628823976977606,2.874424457550049
27,2.5850700634858272,3.38448429107666
28,2.634988476943497,3.0087811946868896
29,2.536316708561213,3.129215717315674
30,2.514774403459816,3.2134735584259033
31,2.493970336228646,3.3568577766418457
32,2.469212818323015,3.077911376953125
33,2.4787005187558124,3.155148506164551
34,2.4457666473613204,3.169355630874634
35,2.403637373609909,3.1184334754943848
36,2.4497057395944513,3.0991408824920654
37,2.3861800466180587,3.300218343734741
38,2.487468806045797,3.2191669940948486
39,2.3307981402457427,3.073735237121582
40,2.359442450004587,2.8864054679870605
41,2.315649440297407,2.8931281566619873
42,2.345731047154064,3.028437614440918
43,2.3298323910771104,2.7805962562561035
44,2.3571938469802873,3.121098041534424
45,2.4292084123417643,3.1952359676361084
46,2.2942765905363705,2.9734222888946533
47,2.276956332365081,2.7854037284851074
48,2.2933694949971404,2.8897757530212402
49,2.3709099059359,2.9941282272338867
50,2.269505392958536,3.2143337726593018
51,2.4191408290295797,2.9903738498687744
52,2.328759132412434,2.8181071281433105
53,2.2911858642854654,2.854100227355957
54,2.2697837713187217,2.9327380657196045
55,2.317025556292528,3.622946262359619
56,2.2191044652033622,3.0212533473968506
57,2.238345889206122,2.954282283782959
58,2.316025668655925,2.6171250343322754
59,2.3368393376266496,2.706738233566284
60,2.226569723462527,3.114990711212158
61,2.2543535396512113,3.016120433807373
62,2.2793082283922876,2.8937134742736816
63,2.188545696797424,2.8877456188201904
64,2.249368926701788,2.842198610305786
65,2.220600074994963,2.932079553604126
66,2.220546333320079,3.3113529682159424
67,2.197775173955395,2.4883813858032227
68,2.2014963544138895,2.7455875873565674
69,2.191479399892625,2.980090856552124
70,2.168094235281962,2.6605477333068848
71,2.1205920404956538,2.6383166313171387
72,2.1056939044406424,2.7622454166412354
73,2.1993030585911786,2.7376370429992676
74,2.2543369373572064,2.70274019241333
75,2.1482120377128155,3.0174880027770996
76,2.2033519254445735,2.6547977924346924
77,2.1644925063722935,2.8306801319122314
78,2.240790918414034,2.6190500259399414
79,2.138587460346529,2.7371699810028076
80,2.1485433226919826,2.876551389694214
81,2.186601920494212,2.883500337600708
82,2.165539084757128,3.110537528991699
83,2.0917178219578965,2.9780642986297607
84,2.1328449729354557,2.6165151596069336
85,2.35643565433176,2.89680814743042
86,2.2012915980564767,2.5293757915496826
87,2.101518888160346,2.8843743801116943
88,2.0931450737157866,3.0865283012390137
89,2.1194919897278,2.622906446456909
90,2.1326650970487346,2.532968044281006
91,2.1229980287350982,2.711012601852417
92,2.255508710017435,2.967289924621582
93,2.1848715811118464,2.80940842628479
94,2.124862278261149,2.842928647994995
95,2.138301858819255,3.047250747680664
96,2.092354776690884,3.0746846199035645
97,2.0934230309289035,2.7795515060424805
98,2.0984450893331195,3.1294498443603516
99,2.0709142439722865,2.7124273777008057
100,2.105332172197628,2.781195640563965
101,2.067679708036496,2.5722813606262207
102,2.116024252355025,2.987760066986084
103,2.0359347544638196,2.5083940029144287
104,2.0785036027948505,3.1916635036468506
105,2.0916445846155822,2.912668466567993
106,2.0978789497928547,2.7907285690307617
107,2.120199660977171,2.752821683883667
108,2.1316891452193705,2.7440030574798584
109,2.0917061725365924,2.636702060699463
110,2.1029241067326203,2.7718183994293213
111,2.0757387378697354,2.989983320236206
112,2.1623904569146064,3.0756614208221436
113,2.1437044142199566,2.9246537685394287
114,2.0411515104430906,2.353971242904663
115,2.0048744034442167,2.6980209350585938
116,2.0777053144636946,2.7377800941467285
117,2.1297461348395363,2.7280285358428955
118,2.048163860851652,2.917271375656128
119,2.0870419686020822,2.792536973953247
